id,mode,uci,lci
VP1,4.236971772518116,6.703509554720802,2.798407811382394
VP10,4.885470276839568,7.208228480871851,3.276171353669925
VP100,2.0189710797326983,4.317054516247967,0.746156951726687
VP101,1.8387752528479506,3.174157134221407,0.004797290020638435
VP102,1.8585393888432107,3.7908757724801867,0.029156700294012267
VP103,0.8512297485027271,2.987661107019445,0.0346607509424779
VP104,1.7453121728311447,3.6056070345124347,0.10529272264454312
VP105,1.7881192870679326,3.8336833383359616,0.11325762372884965
VP106,1.804902704011484,3.0802923607153008,0.11654148865849315
VP107,1.6823968221643228,4.5043626662111125,0.7434252161120349
VP108,1.525493962868947,3.4465945182109357,0.3144194126695664
VP109,3.2493922001247197,4.647864542525539,1.1358803860724551
VP11,4.880302280940569,7.011845711638621,3.2247313107729396
VP110,3.1247137212256186,5.630907538632462,0.9076653949756115
VP111,1.760242093264781,3.4184526930357726,0.36508968778847023
VP112,2.1188893126647637,3.2292894993642975,0.2872105922450881
VP113,1.3736442211654176,3.3387708854889278,0.0167472775617239
VP114,4.109700964274394,5.737602101091145,2.275316181685129
VP115,2.9857568703127693,4.662864481707752,0.6981670232609777
VP116,2.3339090498233643,4.9908567377179684,0.7659013992136869
VP117,5.802240121655258,7.8420210726967055,2.702630968949553
VP118,0.9912937931371485,3.197843354724672,0.1405976136482589
VP119,2.3205851670219673,3.6810439765993714,0.05243816078963659
VP12,4.5117999755744105,7.166552087866392,2.9669640344454637
VP120,1.6839716508875813,4.437767593425205,0.7914430331501107
VP121,4.332446814077539,5.877422412326742,2.5920126985374337
VP122,6.337465453736446,8.117732204574068,3.377478632107106
VP123,1.7077687883562764,3.3993205770783037,0.07192900381915812
VP124,3.6344672112154712,5.132399600809551,1.2794648708260774
VP125,5.17867298901808,6.450663239613882,2.750730551773876
VP126,4.607574642133054,7.337068267736059,2.386391169442007
VP127,4.025279445906062,6.31066926234427,2.453278735103672
VP13,3.2772509421153813,6.069878546776774,2.079100899436263
VP14,3.8656524080603716,6.354985494391211,2.107342380981262
VP15,2.3435364838936397,4.676156937821526,0.4262078858278058
VP16,1.727159408154516,3.993039396497994,0.6829442729928573
VP17,3.308015461172937,5.160513813621279,1.631912574744082
VP18,5.260621849327379,7.717405502085491,3.0762553064177554
VP19,3.5425316794739357,6.316110980209116,2.460193482086749
VP2,4.681630967819424,6.962876692728995,2.422423221976598
VP20,4.28336642686285,6.0057597150091855,2.314296972841505
VP21,2.7854515513598397,4.2299977474857515,0.6628728094791636
VP22,2.75368941384425,4.8274549809313685,0.834846439513282
VP23,4.9063991033283685,7.187179607274647,3.028960748707001
VP24,1.811994465826978,4.624797187112174,0.9766398950002282
VP25,3.114580432164817,5.117016477013295,1.5955050032481535
VP26,3.344771753112613,5.94996246218783,1.831837595445264
VP27,3.6336473119556265,5.703564404938228,1.171894339392092
VP28,2.7457001550825226,5.555022997312783,1.0141649436257378
VP29,4.296778244496831,6.904493785434399,2.094196681543186
VP3,3.879200905761593,5.110505871581697,0.6158953905417508
VP30,4.95104746591788,7.487154527699725,2.643524621173917
VP31,4.527667255224971,6.392542377595299,3.0043634283529768
VP32,3.7895578729537025,7.350052214195116,2.083427686443431
VP33,2.9685523274545975,5.558104158976677,1.0666157189267766
VP34,5.187058043597231,6.013662239738012,2.3250264080268965
VP35,2.1765888569541896,4.296621840886157,0.6678888541295703
VP36,1.5629949265167402,3.851283545804134,0.0021705792940368493
VP37,4.041317805099499,6.265592084016846,1.9418124656849132
VP38,4.526657578385215,6.692930724881197,3.201404254041846
VP39,2.7559991939977047,5.4752351864318,1.2459015653597465
VP4,0.43348474567576767,3.6114487521178114,0.0014593460521171407
VP40,4.4648131873023305,6.231005338349948,2.2459812281624676
VP41,4.253827018052498,6.107097678256906,1.7544869348512453
VP42,1.3479118213421817,3.3425778784687368,0.14964504805374404
VP43,5.203534971625714,7.153906807540742,2.446334196415297
VP44,5.316838542981518,7.607156407789296,3.78091266050607
VP45,3.2057443683408655,6.212107540600671,2.0001244382829944
VP46,2.5828512804588306,4.964797298088627,0.5816153341422793
VP47,2.5044379679633195,4.072932183736484,0.36589527523672827
VP48,4.960257310858651,7.887685205142101,3.303931769574664
VP49,4.32953767170426,6.8654538422636175,1.96714611681101
VP5,0.7000588123608341,2.684221689868514,9.536047304067874e-4
VP50,5.445759068735455,7.366235239151413,3.3429203845465745
VP51,3.2327930730607712,4.683189686415264,0.5291851527671685
VP52,3.6712393568242376,6.457241916353775,2.2167587848516965
VP53,3.905135911796613,5.6380410947594575,2.0109502870682947
VP54,3.780979174984001,4.637065005758332,1.0782303148814971
VP55,2.5942116332340577,5.413756047959392,1.4246389023399701
VP56,3.084279255289309,4.149145653744694,0.4587679261976819
VP57,4.09350753841594,5.919327555773036,2.4335558499690917
VP58,6.087424391682989,8.2129711916381,3.8504661640283304
VP59,2.6423012036278957,5.374706121039882,1.0465166015377247
VP6,5.142751663155878,6.667210645099414,2.18091843837599
VP60,1.7529815268909887,3.5172649445766466,0.14145884348600582
VP61,5.503334697676678,6.993780397733343,2.8394778873889677
VP62,4.375799582962095,7.185788934353324,3.348882467809227
VP63,1.5548400607419253,3.834639592587353,0.5724699011302851
VP64,3.011279470428344,5.398636770555968,1.270253557427367
VP65,5.913430924191071,7.782898109812249,2.2520146378797308
VP66,4.918873959080067,7.765755530646944,2.8300564822320733
VP67,4.480174049470499,7.261738657057572,2.615460987083315
VP68,4.223104952837044,6.580366486883488,1.6548151458726477
VP69,3.7164726024189374,4.692737942169055,1.2544131086352623
VP7,4.591060876866392,6.091586291950696,1.1191968407125161
VP70,3.1014200340213423,5.2229895226830205,1.5051171497031586
VP71,5.939380834316649,7.645871031881476,3.20354521461957
VP72,5.963091066672261,7.820866186061643,3.162625013261493
VP73,5.550541954703278,8.168902069242625,3.2876353860787453
VP74,6.005867465638357,9.318952744861173,2.790440915750809
VP75,5.363451505903104,7.293402683227708,3.603447025634148
VP76,6.0201461069981725,7.454327315624445,2.6756220827511465
